mu_xi,mu_ep,mu_rho,sigma,xi,ep,rho,log_lik,lp__
0.0249869515717,0.145372659466,6.30369702778,[ 0.23732871  0.01239339  0.08675515],"[ 0.03645857  0.03555888  0.07788559  0.02107556  0.02688769  0.03063947
  0.03905516  0.00568884  0.0510658   0.03315676]","[ 0.14093784  0.14687072  0.14526988  0.14253507  0.14497105  0.14511963
  0.14646597  0.14321547  0.15021236  0.14551829]","[ 5.63299365  6.68411055  6.26938309  6.69098022  6.46534358  6.418225
  6.11902713  6.98047366  6.28615703  5.93139932]","[-70.78624827 -77.92116604 -91.50246888 -62.17599096 -67.4320298
 -88.13876643 -82.45220433 -77.25123437 -77.1566214  -92.53237448]",-813.297636842
0.0927684540993,0.232194644794,4.5768889737,[ 12.66529502   0.26566876   0.09384301],"[  5.24411044e-064   3.46711116e-003   4.54680853e-074   9.91036103e-066
   0.00000000e+000   2.36717001e-032   3.10067135e-166   3.32452538e-004
   1.93305748e-004   1.64556999e-034]","[ 0.227188    0.20282902  0.14177924  0.21042862  0.24407412  0.24101187
  0.20463079  0.18720377  0.18003387  0.15439273]","[ 3.97127948  4.9692077   4.80973638  4.30100147  4.11891015  4.64926287
  4.46177474  5.0409908   4.68596485  4.1467193 ]","[-71.9210756  -76.97582236 -91.81543183 -63.15577428 -68.49527634
 -90.59583632 -81.90441425 -78.68406191 -77.66419679 -89.40944164]",-805.442729752
0.0372044676521,0.128387655428,7.94177285838,[ 0.62382163  0.11469956  0.17043667],"[ 0.05000965  0.04120747  0.00933762  0.00446228  0.00682167  0.16276545
  0.02199363  0.02484177  0.09873045  0.08202882]","[ 0.09421328  0.16387874  0.1202322   0.08009961  0.12367056  0.14626781
  0.09708017  0.13810992  0.1107388   0.10325266]","[  8.73124934   6.8034986    6.49948614   9.7354787    7.12917085
  12.31103232   6.88521612   7.88824579   7.05045895   6.01637156]","[-70.29676167 -77.82824165 -92.80496048 -61.29990125 -67.40610724
 -85.33057833 -84.27340002 -77.42513676 -77.75672317 -88.82345675]",-810.130064484
0.0162316960944,0.148901685271,5.09959098978,[ 1.23458272  0.04900396  0.12520128],"[  3.54539558e-02   8.61030718e-07   3.95725603e-02   1.21311647e-02
   7.30602327e-05   6.25362962e-02   8.06884323e-02   6.06815137e-06
   3.98844007e-04   8.25470478e-02]","[ 0.14862109  0.15158401  0.13892705  0.16831329  0.15691163  0.14786734
  0.15943664  0.16901574  0.13950882  0.14886322]","[ 4.8198973   5.3068689   5.4911928   5.36013758  4.89761472  4.55389273
  6.04920664  5.5901548   5.00658496  5.16513449]","[-71.20482259 -78.08522118 -91.41561462 -62.23057813 -67.51085999
 -92.1374973  -81.78678543 -77.85668092 -77.59072448 -89.18186574]",-809.578463413
0.0199038058814,0.145913448255,6.06431325391,[ 0.19762837  0.06584307  0.11452563],"[ 0.02375713  0.01559021  0.03391601  0.02430823  0.02449337  0.01212285
  0.02397821  0.02576824  0.02901045  0.01414518]","[ 0.11797623  0.15162427  0.14034058  0.15736723  0.15204047  0.13983226
  0.14496151  0.13477046  0.12523171  0.12058277]","[ 6.07151729  6.29506352  5.75021026  5.91976693  6.56192956  6.02518754
  5.11652074  6.53775209  5.92081237  4.46540508]","[-70.71927213 -77.77387573 -91.80735815 -62.49581256 -67.60224051
 -88.58386712 -81.83715784 -78.52068147 -77.30446008 -89.04858431]",-809.669988406
0.0247439881566,0.130224237276,6.01346292725,[ 0.36370412  0.11350977  0.05991512],"[ 0.03674536  0.0161155   0.00988358  0.01838874  0.03692409  0.01920422
  0.00574776  0.03986962  0.07883751  0.1526722 ]","[ 0.12815127  0.13362439  0.09641612  0.13389546  0.10506578  0.1159199
  0.13377631  0.12964081  0.16287412  0.1160338 ]","[ 5.4953601   6.21491111  6.25751905  5.84412949  5.90529198  6.54882448
  5.66008083  6.11625865  6.18283376  6.65806917]","[-70.80325829 -78.34550993 -90.48317913 -62.56745649 -69.50029727
 -88.9275513  -83.31134136 -80.3632216  -77.28253106 -89.78136167]",-816.151962936
0.0477989322044,0.143269915974,7.27230600616,[ 0.61831288  0.01691945  0.23001471],"[ 0.05919223  0.01924988  0.04537181  0.01591709  0.01613366  0.08101227
  0.08072642  0.00333194  0.11704855  0.06156331]","[ 0.13970319  0.14682759  0.14720787  0.13931727  0.13894992  0.1458748
  0.14166233  0.14503851  0.15000733  0.14205907]","[ 7.48325925  6.79418508  6.73665633  6.55340372  7.69386665  5.68386862
  8.21936619  7.11954048  7.90038504  5.38080003]","[-71.86792098 -78.00882508 -93.15389425 -61.88250044 -68.49543475
 -89.25189919 -83.56148485 -77.18460021 -77.35890194 -89.54463686]",-809.459585233
0.0166623308074,0.183532077171,5.59420556607,[ 0.29391278  0.32315742  0.17299557],"[ 0.02222533  0.02428251  0.0281725   0.00335612  0.00769851  0.0709846
  0.01636037  0.0095841   0.0299646   0.01630365]","[ 0.12360249  0.24813258  0.08803931  0.10139596  0.1657847   0.14198399
  0.18259401  0.14920847  0.2669274   0.10951074]","[ 5.33751616  5.03395375  4.77882282  7.54266052  4.77434487  8.62634215
  4.6674111   5.7504475   5.68841303  5.21841585]","[-70.95980582 -76.99752105 -91.96173987 -61.29297364 -67.79248291
 -87.03097601 -81.54285153 -78.61280102 -80.49847468 -89.90341093]",-810.49542787
0.0486964002039,0.123840170667,8.35226624984,[ 0.28223512  0.0900605   0.20662938],"[ 0.10913023  0.0340163   0.1347209   0.04886671  0.04810892  0.11116333
  0.11464111  0.0642105   0.1002019   0.08004333]","[ 0.15435688  0.12212768  0.12000552  0.10786938  0.10546109  0.1146502
  0.11530215  0.10205044  0.10912321  0.10954673]","[ 7.59997101  7.82056353  6.67037262  8.72320407  8.10117383  9.31950221
  7.56789536  8.48403348  8.19207254  5.93688465]","[-72.67128007 -78.68717063 -91.03551451 -63.36408963 -67.74209907
 -87.57293595 -82.65565676 -80.38912326 -77.06767741 -88.92628606]",-813.154978127
0.321596805745,0.130758256075,5.10608255731,[ 15.51678204   0.05890259   0.15587574],"[  1.79814014e-03   1.92619765e-24   6.01347493e-02   7.18063844e-30
   2.76766629e-25   6.74650470e-02   1.53521288e-16   9.10664867e-86
   2.00069988e-21   7.71383839e-86]","[ 0.14910773  0.13804557  0.12085269  0.12532764  0.12558502  0.14848933
  0.13584661  0.13033715  0.13579363  0.13214973]","[ 4.03399871  6.64644631  5.55368758  6.52304785  6.23726588  5.99891388
  4.70385493  5.7814821   5.04659456  4.20003541]","[-72.10109129 -78.92537673 -90.69896483 -61.11962289 -67.16187192
 -88.32423603 -82.36705854 -79.56299975 -77.63382061 -89.17330015]",-804.111147003
0.0307718457874,0.174448155246,5.49554375258,[ 0.35080631  0.02355538  0.1490392 ],"[ 0.0626728   0.0115007   0.06711217  0.02249625  0.04349219  0.03379931
  0.03511353  0.00744604  0.02034067  0.06332072]","[ 0.16947698  0.18049649  0.17755813  0.18719695  0.16743817  0.16584949
  0.16873044  0.17631945  0.17464588  0.17226773]","[ 5.34067531  6.41241521  5.60379187  6.40447037  5.73447545  6.02258992
  4.88245674  6.01145185  5.47367167  4.63685285]","[-71.37827728 -77.86988323 -93.06520988 -63.35711765 -67.92676192
 -88.11391586 -81.4552537  -77.37194666 -77.72177971 -89.27620183]",-809.473968475
0.0361017343675,0.157590334153,5.64628862839,[ 0.70039224  0.03239903  0.01183274],"[ 0.04248396  0.00312859  0.04647832  0.00443505  0.00134478  0.01520066
  0.13101192  0.0057182   0.04857898  0.10999831]","[ 0.14731574  0.16942978  0.15979577  0.16608713  0.17190976  0.14883636
  0.16385052  0.16246028  0.14867527  0.16314203]","[ 5.53603045  5.70515715  5.67872212  5.75745168  5.70349015  5.58116491
  5.63156586  5.55120081  5.66697125  5.60560419]","[-70.87205328 -77.44651071 -92.59777355 -61.6520599  -67.48087196
 -88.64636686 -82.52616757 -78.32401833 -77.23754458 -89.76964221]",-814.55139822
0.0563582627416,0.141644844627,6.89072830625,[ 0.15214757  0.15281517  0.18979106],"[ 0.04501569  0.04635022  0.0760393   0.03618013  0.05533768  0.03879112
  0.06013482  0.06860679  0.03886928  0.0329841 ]","[ 0.14711747  0.13983333  0.09588514  0.15205209  0.13864208  0.16923751
  0.13076471  0.17636038  0.15095823  0.11338417]","[ 7.06045037  7.26090536  7.54298093  7.31372569  7.8053611   6.740518
  5.67858463  7.15337867  6.89196243  5.77139034]","[-72.10079137 -78.23691956 -89.81626681 -63.45291553 -68.37437652
 -87.98455812 -81.99586502 -77.95023897 -77.85275031 -90.20121741]",-805.849864908
0.00912571938184,0.178767639593,5.00628055855,[ 0.35541128  0.15730984  0.15607892],"[ 0.00242685  0.00131949  0.02193841  0.00286428  0.01241318  0.00139539
  0.00944413  0.01065356  0.00290145  0.00992052]","[ 0.13396593  0.19452621  0.09933263  0.176905    0.1925963   0.1814577
  0.20612484  0.17426572  0.15488027  0.13175874]","[ 4.2602546   4.73916267  5.36768824  5.23665985  5.4417337   4.94884763
  5.35937553  5.5712104   5.54434241  4.01506727]","[-72.12427586 -77.3147775  -90.33304661 -61.86240652 -67.61973471
 -89.24049235 -84.05028566 -78.08905    -77.93246905 -88.9256448 ]",-809.410283371
0.0224240431178,0.164924727578,5.53382798119,[ 0.54344784  0.02214353  0.11913686],"[ 0.06330448  0.009344    0.04836477  0.0027693   0.01648646  0.1062589
  0.00027007  0.04226884  0.0269376   0.06939132]","[ 0.17612401  0.16560671  0.17198439  0.16485792  0.15975094  0.16595054
  0.15908928  0.17046009  0.16769355  0.1692467 ]","[ 5.80774934  6.49258582  4.51983108  5.1883079   5.3574985   6.20779253
  5.38146837  5.21001362  5.34634995  5.21005523]","[-71.6710255  -77.96288622 -93.08889124 -61.96794411 -67.41727437
 -88.04664545 -83.56243591 -80.38831076 -77.40403334 -89.8898496 ]",-816.754191528
0.0429651413619,0.133856864608,6.56455689938,[ 0.03601108  0.09295052  0.02334696],"[ 0.04191209  0.04283398  0.0438742   0.04129688  0.04227767  0.03838842
  0.04518638  0.04796692  0.04367738  0.04282076]","[ 0.14926185  0.12932272  0.12615205  0.13870706  0.12876166  0.112971
  0.13309569  0.12362818  0.10778011  0.12718308]","[ 6.40693873  6.24200704  6.65717642  6.5506924   6.86179315  6.67879628
  6.55084087  6.75047621  6.21375131  6.59506379]","[-71.45581862 -78.92978308 -91.50845523 -63.14968865 -67.66062091
 -88.96373006 -82.62646473 -79.8575268  -77.69989056 -92.45654129]",-821.092171793
0.0394303812598,0.141476804559,6.71466021039,[ 0.17216399  0.20008829  0.17607945],"[ 0.02769322  0.07469538  0.04060045  0.0197076   0.03970165  0.03511098
  0.02966486  0.02910822  0.0396676   0.04358052]","[ 0.10733718  0.17316789  0.14308806  0.12956803  0.09788559  0.13142239
  0.11706809  0.18524789  0.10959328  0.11475298]","[ 5.82927291  8.58901397  6.06420035  6.77923959  8.94749595  7.41422125
  8.06467261  7.55684916  8.34430261  5.64176057]","[-70.95618832 -79.64434096 -92.120844   -62.00265525 -67.49798116
 -88.25889254 -85.64422328 -77.82604997 -77.51041915 -89.53164047]",-811.636205558
0.0451185472271,0.142285083556,5.7325215425,[ 0.31107471  0.1202427   0.08474812],"[ 0.06525413  0.05782046  0.05193981  0.01149334  0.06963218  0.06777538
  0.08277416  0.02154982  0.09474404  0.1073627 ]","[ 0.1178703   0.15351802  0.15111075  0.11846294  0.1494971   0.1641847
  0.14532005  0.1770957   0.16823093  0.10029723]","[ 5.1692336   5.50598904  5.81000578  7.07264542  5.56233312  6.48947915
  6.61655772  5.95439602  5.52844296  6.06407854]","[-72.32118533 -79.09031507 -92.04090388 -61.56519453 -69.33572454
 -87.42317478 -82.06457111 -77.75200361 -78.02875832 -88.87524178]",-814.042430604
0.127400193325,0.135778697602,7.1086671779,[ 0.52589337  0.29487878  0.13949202],"[ 0.02179088  0.08798775  0.06787361  0.02332     0.107869    0.03064116
  0.0604014   0.0308846   0.12666049  0.0860851 ]","[ 0.18741561  0.15396196  0.09368528  0.13169589  0.14755094  0.24827965
  0.12862147  0.2173078   0.33252287  0.09679177]","[ 5.56176325  6.0185494   6.90606088  6.14183382  6.12851571  5.43899546
  6.96800057  7.08381076  7.1982903   6.53591757]","[-72.61771419 -79.49130685 -89.84423086 -62.54952618 -70.51445911
 -89.80301591 -82.57166039 -78.42625483 -80.0128802  -88.93258984]",-817.581344118
0.0234539161683,0.161135567629,4.70602706525,[ 0.25222719  0.19399165  0.07898677],"[ 0.02097776  0.03814034  0.04848301  0.01687752  0.01680949  0.02265816
  0.00685052  0.01037259  0.0395426   0.02610897]","[ 0.1555162   0.29007312  0.09884459  0.181855    0.14567598  0.173289
  0.216306    0.18742482  0.15701519  0.12584104]","[ 5.21254554  4.50828039  4.52901511  4.80212152  5.43036559  4.98766562
  4.57973946  5.02022725  4.65267475  4.71069595]","[-71.08030368 -77.80203275 -92.61748058 -63.19594619 -67.51638408
 -89.11910112 -82.04869612 -79.10256897 -78.23674447 -89.06577507]",-811.899692557
0.053579947071,0.155822043439,5.9261732911,[ 0.48506698  0.01607329  0.05877797],"[ 0.07259876  0.07729204  0.15609453  0.03386443  0.04957904  0.02782618
  0.0217627   0.0124379   0.04714207  0.10264227]","[ 0.15569833  0.16011257  0.15634032  0.15549954  0.15722272  0.15149672
  0.15271127  0.15822977  0.16144768  0.16053814]","[ 6.63345499  5.57842758  6.33912629  5.85183294  6.17118736  5.66557434
  5.80215048  5.72543681  6.00287514  6.0054204 ]","[-71.67571906 -79.43008255 -92.26409835 -63.02960701 -67.97709113
 -88.48304147 -82.80748561 -78.33868446 -77.28074175 -90.25939043]",-812.807009259
0.0161117029672,0.126482466266,6.53987977878,[ 0.64422432  0.01933293  0.05766182],"[ 0.02832113  0.07573101  0.04291803  0.01205644  0.00144759  0.07857087
  0.00642458  0.0053828   0.03162658  0.16533671]","[ 0.13034302  0.12742964  0.12742437  0.12875652  0.12483864  0.12874659
  0.12417345  0.13092533  0.12995199  0.12854733]","[ 6.89118995  6.32885543  5.94323605  6.80425846  6.43245101  7.08314247
  5.87312047  6.68729288  6.43832526  6.5388421 ]","[-71.50300118 -80.01859709 -90.99363628 -61.62203343 -67.17964887
 -87.94708311 -83.64224423 -77.95770925 -77.26237963 -90.15256466]",-811.856309942
